State,Item No,Amount
NC,00492,195
LA,00128,28
IL,00508,14
GA,00375,25
GA,00039,847
NY,00210,72
CT,00854,28
BC,00270,5
NC,02039,8
VT,02491,3
VA,00199,108
CA,00070,848
CO,00406,809
ND,00483,33
NJ,00930,5
NJ,00270,84
NC,00865,106
KS,00022,24
GA,00365,17
TX,00617,69
AZ,00481,30
AK,00120,6
MS,00022,87
ME,01003,16
WY,00074,23
VA,00250,8
MA,00184,36
IN,00022,53
NY,00940,172
NH,00012,86
NJ,00128,78
WV,00120,30
NM,02062,3
GA,00019,63
VA,00940,125
NJ,00120,91
SD,00072,152
SC,00199,240
PA,02080,77
AK,00350,6
WY,00855,39
IL,00964,5
KS,02004,64
HI,00018,4
NY,01435,20
NM,00975,5
MN,00720,61
PA,00482,215
PA,01102,25
UT,00483,39
PA,00402,170
UT,00062,795
TX,02078,35
SC,00775,22
IA,00195,50
VA,00821,10
UT,DP062,697
TN,00006,89
WY,00031,145
CO,00854,379
NM,01488,19
SK,00625,5
MT,00014,34
TN,00192,34
UT,02061,72
PA,01488,141
WA,02050,12
VT,00126,12
ME,02074,28
GA,02004,263
AL,00005,148
SC,00840,24
MS,02024,8
MB,00494,3
ID,00785,25
CT,00486,5
IL,00101,313
MN,00840,77
MO,00012,114
WA,00660,26
SD,00062,199
MO,02482,10
MN,00530,160
OH,00005,145
NC,02004,49
AR,00811,13
CO,00184,242
WA,02044,182
MS,00150,29
CA,00760,362
SC,00102,54
ND,00379,20
IL,00428,22
CT,00427,18
MD,00730,3
WI,00114,37
MN,00770,16
AL,00811,3
MA,00425,38
NY,00941,185
OR,VP941,3
AZ,00128,82
AK,00129,94
TX,02102,150
NC,00433,737
NV,00018,25
MT,00697,147
AZ,00350,46
MT,02039,27
PA,00032,1083
MO,01435,9
BC,00114,4
MT,00865,18
GA,00132,3
NJ,02044,9
DE,00004,4
GA,02408,26
NJ,00364,13
ID,02435,27
WI,00406,334
WA,00197,13
OK,00697,30
CA,00841,57
